 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
1,vesta-0002r.fit,1,0,59293.529472,2459293.529472,NaN,NaN,NaN,1.560124,NaN,-19.977101,0.8,NaN,NaN,12.211326,1.6,12,40,60,18.119712,1.801997,0.55494,0.282493,0.062254,0.019172,64.142197,28.945766,28.945766,34357.125094,533.492289,943.122714,798.121356,943.622714,538.378644,622541.199557,868.265671,716.993911,21477,1581.597872,257.042129,7.450046,7.627542,7.272551,333.44465,0.993706,1138.798389,821.325096,1139.298389,515.174904,22095.469066,389.834702,56.679072,1032,302.25641,255.04387,7.402641,7.659441,7.145841,350.397383,0.994615,610.962087,1113.237925,611.462087,223.262075,12261.656028,364.201768,33.667206,669,263.315451,237.002884,7.375804,7.609254,7.142355,327.242535,0.976719
2,vesta-0003r.fit,2,0,59293.529623,2459293.529623,NaN,NaN,NaN,1.558862,NaN,-19.977101,0.8,NaN,NaN,11.223324,1.6,12,40,60,18.775799,1.872813,0.533956,0.280054,0.062814,0.017909,67.043477,29.815369,29.815369,33070.467093,491.165368,941.900514,796.661165,942.400514,539.838835,620924.445485,854.424904,726.716231,28786,1824.426768,256.435744,6.962816,6.90579,7.019843,305.471477,0.997484,1137.141367,820.110255,1137.641367,516.389745,21558.938402,359.076295,60.039993,1385,309.480916,254.623566,6.778768,6.685482,6.872054,300.876278,0.996619,609.974211,1111.738346,610.474211,224.761654,11511.528691,335.123311,34.350128,757,266.085859,237.016342,7.270222,7.45246,7.087984,323.927976,0.973302
3,vesta-0004r.fit,3,0,59293.529785,2459293.529785,NaN,NaN,NaN,1.557505,NaN,-19.977101,0.8,NaN,NaN,11.925829,1.6,12,40,60,18.080664,1.974224,0.506528,0.279099,0.069981,0.017955,64.782198,28.210889,28.210889,33932.36783,521.632218,943.02668,798.40172,943.52668,538.09828,613519.745404,859.053105,714.181396,17568,1622.374165,255.960478,7.566849,7.401073,7.732625,289.764212,0.996776,1138.219703,821.151529,1138.719703,515.348471,22523.553488,382.118228,58.943939,955,304.633929,254.35814,7.680059,7.765666,7.594452,320.964318,0.98837,611.23863,1112.787357,611.73863,223.712643,11408.814341,355.085666,32.129752,577,262.364653,236.841579,7.058011,7.19419,6.921831,330.131683,0.994142
4,vesta-0005r.fit,4,0,59293.535792,2459293.535792,NaN,NaN,NaN,1.509562,NaN,-20.417621,0.8,NaN,NaN,10.440662,1.6,12,40,60,18.135708,1.81248,0.55173,0.250132,0.055328,0.016842,72.504553,32.758828,32.758828,33602.925204,461.147878,943.008606,802.493972,943.508606,534.006028,609412.843123,838.442779,726.838919,25856,2027.133721,255.584758,6.917592,6.991413,6.843771,333.599048,0.998754,1137.314218,819.95679,1137.814218,516.54321,21655.131476,338.360124,64.000247,1325,317.492711,254.358217,6.490735,6.493168,6.488302,315.371884,0.996664,609.922792,1111.27392,610.422792,225.22608,11947.793728,313.32059,38.132808,767,271.833333,236.898264,5.9419,5.639633,6.244168,65.315446,0.975715
5,vesta-0006r.fit,5,0,59293.535942,2459293.535942,NaN,NaN,NaN,1.508418,NaN,-20.417621,0.8,NaN,NaN,12.479752,1.6,12,40,60,17.33262,1.833844,0.545303,0.27208,0.064267,0.01911,63.704067,28.53487,28.53487,34912.571956,545.789266,942.12871,803.14932,942.62871,533.35068,605126.340476,860.590449,703.152517,21710,1498.084189,255.524968,7.492886,7.62878,7.356993,347.246745,0.998386,1136.361507,820.2978,1136.861507,516.2022,22592.707763,398.318269,56.72024,1026,299.989817,253.976155,7.669254,7.955441,7.383067,341.278206,0.991188,608.663949,1111.775922,609.163949,224.724078,12319.864193,373.133327,33.017325,679,261.596741,236.505368,7.787205,7.815314,7.759096,316.770228,0.986333
6,vesta-0007r.fit,6,0,59293.536093,2459293.536093,NaN,NaN,NaN,1.507276,NaN,-19.977101,0.8,NaN,NaN,11.581249,1.6,12,40,60,17.569358,1.858241,0.538143,0.262013,0.062118,0.017989,67.055255,29.914495,29.914495,34235.266036,508.269911,942.392491,801.777783,942.892491,534.722217,601491.633062,847.36917,709.834219,27439,1681.388626,256.053002,6.968509,6.983797,6.95322,30.164287,0.999921,1136.786076,818.742082,1137.286076,517.757918,22257.526065,371.451961,59.920335,1189,307.225118,254.482166,6.796904,7.116707,6.477102,9.359775,0.990171,609.401039,1110.308805,609.901039,226.191195,11977.73997,346.931901,34.524758,821,265.127358,236.877972,7.322957,7.614337,7.031578,17.631573,0.990531
7,vesta-0008r.fit,7,0,59293.541799,2459293.541799,NaN,NaN,NaN,1.46587,NaN,-19.977101,0.8,NaN,NaN,11.758766,1.6,12,40,60,18.063237,1.847566,0.541253,0.27148,0.062075,0.018185,66.536059,29.763418,29.763418,34238.456493,512.378773,942.596204,808.175468,943.096204,528.324532,618457.367205,859.797878,719.305528,23374,1670.601831,255.367581,7.305035,7.2273,7.38277,303.360833,0.997101,1135.672779,819.433051,1136.172779,517.066949,22214.69282,374.821911,59.267327,1186,305.612529,254.070318,7.006379,6.676059,7.336699,296.046487,0.97655,608.318108,1110.30423,608.818108,226.19577,12023.763673,349.343014,34.418217,754,264.419954,236.52259,7.013761,6.699306,7.328217,280.677281,0.990768
8,vesta-0009r.fit,8,0,59293.541961,2459293.541961,NaN,NaN,NaN,1.464746,NaN,-20.417621,0.8,NaN,NaN,10.124561,1.6,12,40,60,17.907539,1.933415,0.517219,0.236179,0.057728,0.015443,75.821883,33.492099,33.492099,34104.879567,447.377332,943.265541,807.997838,943.765541,528.502162,610734.473051,835.323486,731.135282,30845,2151.677019,254.986109,6.482351,6.734031,6.230672,353.798485,0.993698,1136.290874,818.803428,1136.790874,517.696572,22478.540792,329.741401,68.170211,1434,323.510903,253.484297,6.63578,6.64557,6.62599,316.505712,0.996846,608.643988,1109.947544,609.143988,226.552456,11626.338776,302.352585,38.452917,913,272.514107,236.067904,5.787082,5.603951,5.970212,77.925423,0.995199
9,vesta-0010r.fit,9,0,59293.542111,2459293.542111,NaN,NaN,NaN,1.463705,NaN,-20.417621,0.8,NaN,NaN,10.519067,1.6,12,40,60,17.838375,1.883166,0.531021,0.241637,0.057375,0.016179,73.822901,32.821985,32.821985,34355.231014,462.986073,943.926995,808.917596,944.426995,527.582404,612841.479482,839.827059,729.723427,30277,2046.149123,254.214972,6.48319,6.47157,6.494809,309.007338,0.999702,1136.98089,819.81948,1137.48089,516.68052,22439.432353,339.083132,66.176787,1293,318.15407,252.923162,6.718008,6.711454,6.724563,48.32275,0.999716,609.389141,1111.264075,609.889141,225.235925,11915.798661,315.243926,37.798662,795,270.215517,235.974716,6.342078,6.180278,6.503878,54.574327,0.975835
10,vesta-0011r.fit,10,0,59293.54688,2459293.54688,NaN,NaN,NaN,1.431916,NaN,-19.977101,0.8,NaN,NaN,10.110984,1.6,12,40,60,17.608803,1.915154,0.522151,0.232102,0.057124,0.015574,75.866738,33.5263,33.5263,34212.951708,448.489276,941.745974,814.425414,942.245974,522.074586,602449.13587,830.29396,725.585353,31594,2132.174455,255.38587,6.376808,6.412237,6.34138,9.413402,0.999862,1133.970522,820.651358,1134.470522,515.848642,22476.71204,328.728604,68.374677,1395,324.786164,254.104679,6.542264,6.552824,6.531703,42.850122,0.998146,606.089494,1111.909532,606.589494,224.590468,11736.239668,305.090373,38.468076,857,272.734568,236.511606,5.977358,5.869704,6.085012,51.706598,0.975904
